"Variable / Field Name","Form Name","Field Units","Section Header","Field Type","Field Label","Choices OR Calculations","Field Note","Text Validation Type","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?"
study_id,demographics,,,text,"Study ID",,,,,,,,
date_enrolled,demographics,,"Demographic Characteristics",text,"Date subject signed consent",,YYYY-MM-DD,date,,,,,
first_name,demographics,,,text,"First Name",,,,,,y,,
last_name,demographics,,,text,"Last Name",,,,,,y,,
address,demographics,,"Contact Information",notes,"Street, City, State, ZIP",,,,,,y,,
telephone_1,demographics,,,text,"Phone number",,"Include Area Code",phone,,,y,,
telephone_2,demographics,,,text,"Second phone number",,"Include Area Code",phone,,,y,,
email,demographics,,,text,E-mail,,,email,,,y,,
sex,demographics,,,dropdown,Gender,"0, Female | 1, Male",,,,,,,y
given_birth,demographics,,,dropdown,"Has the subject given birth before?","0, No | 1, Yes",,,,,,"[sex] = ""0""",
num_children,demographics,,,text,"How many times has the subject given birth?",,,integer,0,,,"[sex] = ""0"" and [given_birth] = ""1""",
ethnicity,demographics,,,radio,Ethnicity,"0, Hispanic or Latino | 1, NOT Hispanic or Latino | 2, Unknown / Not Reported",,,,,,,
race,demographics,,,radio,Race,"0, American Indian/Alaska Native | 1, Asian | 2, Native Hawaiian or Other Pacific Islander | 3, Black or African American | 4, White | 5, More Than One Race | 6, Unknown / Not Reported",,,,,,,
dob,demographics,,,text,"Date of birth",,,date,,,y,,
age,demographics,,,calc,"Age (years)","round(datediff([dob],'today','y'),1)",,,,,,,
height,demographics,cm,,text,"Height (cm)",,,number,130,215,,,
weight,demographics,kilograms,,text,"Weight (kilograms)",,,integer,35,200,,,
bmi,demographics,kilograms,,calc,BMI,"round(([weight]*10000)/(([height])^(2)),1)",,,,,,,
patient_document,demographics,,,file,"Patient document",,,,,,,,
meds,demographics,,,checkbox,"Is patient taking any of the following medications? (check all that apply)","1, Lexapro | 2, Celexa | 3, Prozac | 4, Paxil | 5, Zoloft",,,,,,,
diabetes,demographics,,,dropdown,"Patient has a diagnosis of diabetes mellitus?","0, No | 1, Yes",,,,,,,
diabetes_type,demographics,,,dropdown,"Type of Diabetes Mellitus","0, Type 1 insulin-dependent | 1, Type 2 insulin-dependent | 2, Type 2 non insulin-dependent",,,,,,,
dialysis_initiation,demographics,,"Dialysis Information",text,"Date of first outpatient dialysis treatment",,,date,,,,,
access_type,demographics,,,dropdown,"Type of vascular access","0, Graft | 1, Fistula | 2, Catheter with maturing graft | 3, Catheter with maturing fistula",,,,,,,
access_location,demographics,,,dropdown,"Location of currently used vascular access","0, Forearm | 1, Upper arm | 2, Internal jugular vein | 3, Subclavian vein | 4, Other",,,,,,,
dialysis_unit_name,demographics,,,text,"Name of dialysis unit",,,,,,,,
dialysis_unit_phone,demographics,,,text,"Phone number",,"Include Area Code",phone,,,,,
dialysis_schedule_days,demographics,,,radio,"Days of the week patient is dialyzed","0, Monday-Wednesday-Friday | 1, Tuesday-Thursday-Saturday | 2, Other",,,,,,,
